title,score,inq,link,star
冰川时代,8.5,松鼠才是角儿。,https://movie.douban.com/subject/1291578/,365480人评价
雨中曲,9,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/,121012人评价
燃情岁月,8.8,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/,180642人评价
爆裂鼓手,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/,314087人评价
未麻的部屋,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/,140594人评价
人工智能,8.6,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/,250877人评价
模仿游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/,343033人评价
一个叫欧维的男人决定去死,8.8,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,186137人评价
穿越时空的少女,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/,241226人评价
忠犬八公物语,9.1,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/,91495人评价
魂断蓝桥,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/,160588人评价
房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/,221000人评价
猜火车,8.5,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/,300667人评价
魔女宅急便,8.6,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/,268985人评价
恐怖游轮,8.4,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/,443099人评价
完美陌生人,8.5,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/,322504人评价
罗生门,8.7,人生的N种可能性。,https://movie.douban.com/subject/1291879/,169728人评价
哪吒闹海,8.9,想你时你在闹海。,https://movie.douban.com/subject/1307315/,116883人评价
海街日记,8.7,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/,203305人评价
阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/,285311人评价
黑客帝国3：矩阵革命,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/,215799人评价
香水,8.5,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/,352680人评价
朗读者,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/,327948人评价
浪潮,8.7,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/,168938人评价
天书奇谭,9.1,传奇的年代，醉人的童话。,https://movie.douban.com/subject/1428581/,82720人评价
可可西里,8.7,坚硬的信仰。,https://movie.douban.com/subject/1308857/,166098人评价
谍影重重2,8.6,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/,212062人评价
牯岭街少年杀人事件,8.8,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/,143766人评价
谍影重重,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/,252757人评价
战争之王,8.6,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/,218722人评价
地球上的星星,8.9,天使保护事件始末。,https://movie.douban.com/subject/2363506/,115545人评价
惊魂记,8.9,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/,115748人评价
疯狂的石头,8.4,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/,435486人评价
青蛇,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/,294136人评价
初恋这件小事,8.3,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/,610639人评价
终结者2：审判日,8.6,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/,191658人评价
